dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,purity_mean,purity_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
glass,zscore_robust,minmax,cosine,0.3368827319228559,0.1120162251809262,0.4114101756936094,0.0769151201315095,0.6083,0.44,0.69,0.0532363597553401,0.7304999999999999,0.0540254569624357,0.393752071360101,0.3662684086302556,0.4939705203249186,0.0209147605967038
glass,zscore_robust_2.5,minmax,euclidean,0.3187944530221127,0.1090337544144731,0.4042860321090237,0.0556936164131737,0.5983673469387756,0.4489795918367347,0.6632653061224489,0.0423566499806623,0.7177551020408164,0.0380769513932673,0.2503283324330789,0.2350722991438248,0.293248570789219,0.0089874093022633
glass,zscore_robust_3.5,robust,manhattan,0.2863136855301162,0.0700288993446998,0.4055212387727976,0.0811248946425697,0.5898019801980199,0.396039603960396,0.693069306930693,0.071920385897575,0.7035643564356436,0.0736252962414582,0.2793533944406853,0.2000239225225825,0.4907168451205568,0.0478311821733584
iris,iqr,none,cosine,0.9188032745638314,0.9188032745638312,0.9188032745638312,1.1102230246251563e-16,0.9726027397260276,0.9726027397260274,0.9726027397260274,2.220446049250313e-16,0.9726027397260276,2.220446049250313e-16,0.7453126106576535,0.7453126106576538,0.7453126106576538,2.220446049250313e-16
iris,iqr_1.2,none,cosine,0.9176978090589172,0.9176978090589172,0.9176978090589172,0.0,0.9724137931034482,0.9724137931034482,0.9724137931034482,0.0,0.9724137931034482,0.0,0.743989809426953,0.7439898094269531,0.7439898094269531,1.1102230246251563e-16
iris,iqr_1.8,none,cosine,0.9211918194640338,0.9211918194640338,0.9211918194640338,0.0,0.9731543624161072,0.9731543624161074,0.9731543624161074,1.1102230246251563e-16,0.9731543624161072,1.1102230246251563e-16,0.7472169842574253,0.7472169842574256,0.7472169842574256,2.220446049250313e-16
iris,none,none,cosine,0.922241429922698,0.922241429922698,0.922241429922698,2.220446049250313e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.9733333333333332,2.220446049250313e-16,0.7485238922885508,0.748523892288551,0.748523892288551,2.220446049250313e-16
iris,zscore,none,cosine,0.9211918194640338,0.9211918194640338,0.9211918194640338,0.0,0.9731543624161072,0.9731543624161074,0.9731543624161074,1.1102230246251563e-16,0.9731543624161072,1.1102230246251563e-16,0.7472169842574253,0.7472169842574256,0.7472169842574256,2.220446049250313e-16
iris,zscore_2.5,none,cosine,0.9201284201077694,0.9201284201077694,0.9201284201077694,0.0,0.9729729729729728,0.972972972972973,0.972972972972973,1.1102230246251563e-16,0.9729729729729728,1.1102230246251563e-16,0.7458765849375415,0.7458765849375414,0.7458765849375414,1.1102230246251563e-16
iris,zscore_3.5,none,cosine,0.922241429922698,0.922241429922698,0.922241429922698,2.220446049250313e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.9733333333333332,2.220446049250313e-16,0.7485238922885508,0.748523892288551,0.748523892288551,2.220446049250313e-16
iris,zscore_robust,none,cosine,0.922241429922698,0.922241429922698,0.922241429922698,2.220446049250313e-16,0.9733333333333332,0.9733333333333334,0.9733333333333334,2.220446049250313e-16,0.9733333333333332,2.220446049250313e-16,0.7485238922885508,0.748523892288551,0.748523892288551,2.220446049250313e-16
