dataset,outlier_method,norm,metric,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,hungarian_acc_mean,hungarian_acc_std,hungarian_acc_min,hungarian_acc_max,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
blood,iqr,standard,hamming,-0.0104489882269328,-0.051531592196756,0.0722026759438846,0.0259118019362569,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.5834051724137931,0.0176991142564183,0.5603448275862069,0.6910919540229885,0.1288590938395676,0.0792901283856913,0.1463270447285845,0.007257519670923
blood,iqr,robust,euclidean,0.0468571302354768,0.0468571302354768,0.0468571302354768,0.0,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6422413793103449,0.0,0.6422413793103449,0.6422413793103449,0.4466189255874394,0.4466189255874395,0.4466189255874395,1.1102230246251563e-16
blood,iqr,robust,manhattan,0.0588377899946653,0.0588377899946653,0.0588377899946653,2.0816681711721685e-17,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6307471264367814,2.220446049250313e-16,0.6307471264367817,0.6307471264367817,0.4599828012751842,0.4599828012751844,0.4599828012751844,1.6653345369377348e-16
blood,iqr,robust,cosine,-0.004112327349925,-0.004112327349925,-0.004112327349925,8.673617379884035e-19,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.5229885057471266,2.220446049250313e-16,0.5229885057471264,0.5229885057471264,0.6117030868907749,0.6117030868907747,0.6117030868907747,2.220446049250313e-16
blood,iqr,robust,minkowski,0.0362206946275421,0.0361358000211421,0.038258165181142,0.0004158969351888,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6308045977011493,0.0002815505451474,0.6307471264367817,0.632183908045977,0.4266045169832675,0.426282174976426,0.4266179479002194,6.57977866188867e-05
blood,iqr,robust,chebyshev,0.0235365980047254,0.0235365980047254,0.0235365980047254,0.0,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.610632183908046,0.0,0.610632183908046,0.610632183908046,0.3806433407251166,0.3806433407251168,0.3806433407251168,1.6653345369377348e-16
blood,iqr,robust,correlation,0.0052074686635942,0.0052074686635942,0.0052074686635942,1.734723475976807e-18,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.5560344827586207,0.0,0.5560344827586207,0.5560344827586207,0.7295421645765988,0.7295421645765987,0.7295421645765987,1.1102230246251563e-16
blood,iqr,robust,hamming,-0.0104489882269328,-0.051531592196756,0.0722026759438846,0.0259118019362569,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.5834051724137931,0.0176991142564183,0.5603448275862069,0.6910919540229885,0.1288590938395676,0.0792901283856913,0.1463270447285845,0.007257519670923
blood,zscore_robust_2.5,none,euclidean,0.0662729047193594,0.0662729047193594,0.0662729047193594,1.3877787807814457e-17,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6609195402298852,1.1102230246251563e-16,0.6609195402298851,0.6609195402298851,0.6495838970726017,0.6495838970726016,0.6495838970726016,1.1102230246251563e-16
blood,zscore_robust_2.5,none,manhattan,0.0564510252887624,0.0564510252887624,0.0564510252887624,1.3877787807814457e-17,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6293103448275863,1.1102230246251563e-16,0.6293103448275862,0.6293103448275862,0.6197886207889878,0.6197886207889877,0.6197886207889877,1.1102230246251563e-16
blood,zscore_robust_2.5,none,cosine,-0.0567172227077136,-0.0567172227077136,-0.0567172227077136,2.0816681711721685e-17,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.5258620689655171,1.1102230246251563e-16,0.5258620689655172,0.5258620689655172,0.724883475846785,0.7248834758467853,0.7248834758467853,2.220446049250313e-16
blood,zscore_robust_2.5,none,minkowski,0.0662729047193594,0.0662729047193594,0.0662729047193594,1.3877787807814457e-17,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6609195402298852,1.1102230246251563e-16,0.6609195402298851,0.6609195402298851,0.6500772146405075,0.6500772146405076,0.6500772146405076,1.1102230246251563e-16
blood,zscore_robust_2.5,none,chebyshev,0.0662729047193594,0.0662729047193594,0.0662729047193594,1.3877787807814457e-17,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6609195402298852,1.1102230246251563e-16,0.6609195402298851,0.6609195402298851,0.6502610472589347,0.6502610472589346,0.6502610472589346,1.1102230246251563e-16
blood,zscore_robust_2.5,none,correlation,-0.0395566852275077,-0.0395566852275077,-0.0395566852275077,0.0,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.5043103448275863,1.1102230246251563e-16,0.5043103448275862,0.5043103448275862,0.6070382167968525,0.6070382167968525,0.6070382167968525,0.0
blood,zscore_robust_2.5,none,hamming,-0.0090803785151446,-0.0693545074604526,0.1074871948605876,0.0569273300252973,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6113362068965518,0.0585327599354858,0.5603448275862069,0.7140804597701149,0.1214772367720749,0.0770644695869008,0.1463270447285845,0.0276606469844195
blood,zscore_robust_2.5,minmax,euclidean,0.049479743651014,0.0479824123662445,0.0560242612174476,0.0012606151915648,0.7729885057471263,0.7729885057471264,0.7729885057471264,1.1102230246251563e-16,0.6447701149425287,0.0009337975177742,0.6422413793103449,0.6479885057471264,0.4020724358452263,0.3987477995876479,0.4025124762459673,0.0011380573442088
