outlier,norm,metric,inertia_mean,inertia_std,inertia_min,inertia_max,silhouette_mean,silhouette_std,silhouette_min,silhouette_max,ari_mean,ari_std,ari_min,ari_max,nmi_mean,nmi_std,nmi_min,nmi_max,acc_mean,acc_std,acc_min,acc_max
none,robust,chebyshev,77.1186620333834,8.794911207764804,73.18403620977307,97.45968887074318,0.44488006844726663,0.004528349661178421,0.4430577774072145,0.45842827065676073,0.5542753345940032,0.04734977148681181,0.432804702527474,0.580252001964217,0.6157443306124366,0.015048600202252191,0.5895674488004073,0.6566239697856393,0.7699999999999998,0.08863992913488275,0.5666666666666667,0.8133333333333334
zscore,none,euclidean,77.37220873110128,0.0021075009111299558,77.37023734451336,77.37446174434466,0.5524825284427558,0.0008136784519394893,0.5516126695884248,0.5532436549402953,0.7200549205808957,0.007028403639862522,0.7125412410390896,0.7266293901799755,0.7488876528503522,0.008167935183356897,0.7401557628464956,0.7565280566037269,0.8894854586129752,0.003348239272280927,0.8859060402684564,0.8926174496644296
zscore,none,manhattan,77.37220873110128,0.0021075009111299558,77.37023734451336,77.37446174434466,0.5524825284427558,0.0008136784519394893,0.5516126695884248,0.5532436549402953,0.7200549205808957,0.007028403639862522,0.7125412410390896,0.7266293901799755,0.7488876528503522,0.008167935183356897,0.7401557628464956,0.7565280566037269,0.8894854586129752,0.003348239272280927,0.8859060402684564,0.8926174496644296
zscore,none,cosine,0.3378500742092235,0.059061792543893495,0.31816283028374864,0.5154003291061027,0.4835941852547515,0.010445453519136748,0.4445306507481658,0.48702091878482195,0.8564078501414047,0.13850954632938817,0.43944231924377986,0.9025775147114491,0.8738643224583825,0.07545269441908026,0.646898385285746,0.8990151599539264,0.9221476510067116,0.1328972042289895,0.5167785234899329,0.9664429530201343
zscore,none,chebyshev,77.37220873110128,0.0021075009111299558,77.37023734451336,77.37446174434466,0.5524825284427558,0.0008136784519394893,0.5516126695884248,0.5532436549402953,0.7200549205808957,0.007028403639862522,0.7125412410390896,0.7266293901799755,0.7488876528503522,0.008167935183356897,0.7401557628464956,0.7565280566037269,0.8894854586129752,0.003348239272280927,0.8859060402684564,0.8926174496644296
zscore,minmax,euclidean,7.537610526879596,0.9843215686723761,7.241860955275695,11.216531640306611,0.49388577930451555,0.008810492891405114,0.48042822519855694,0.4996880510547434,0.6889685754588102,0.06966171151983973,0.42967212304040353,0.7125412410390896,0.7216801498127778,0.03800557965606678,0.5873421269770561,0.7401557628464958,0.86331096196868,0.07653132349907503,0.5771812080536913,0.8859060402684564
zscore,minmax,manhattan,7.537610526879596,0.9843215686723761,7.241860955275695,11.216531640306611,0.49388577930451555,0.008810492891405114,0.48042822519855694,0.4996880510547434,0.6889685754588102,0.06966171151983973,0.42967212304040353,0.7125412410390896,0.7216801498127778,0.03800557965606678,0.5873421269770561,0.7401557628464958,0.86331096196868,0.07653132349907503,0.5771812080536913,0.8859060402684564
zscore,minmax,cosine,2.6568651967553527,0.12508924749604128,2.5844144276037495,3.079200698666412,0.34129351844086586,0.030372673615062913,0.312402188034978,0.4277055198224761,0.5008111697608192,0.014979907614868504,0.4424628243755467,0.5266028072837633,0.5973003341120982,0.024118154962403476,0.5810982745180763,0.694133500955159,0.6975391498881433,0.045714283926864406,0.5302013422818792,0.7449664429530202
zscore,minmax,chebyshev,7.537610526879596,0.9843215686723761,7.241860955275695,11.216531640306611,0.49388577930451555,0.008810492891405114,0.48042822519855694,0.4996880510547434,0.6889685754588102,0.06966171151983973,0.42967212304040353,0.7125412410390896,0.7216801498127778,0.03800557965606678,0.5873421269770561,0.7401557628464958,0.86331096196868,0.07653132349907503,0.5771812080536913,0.8859060402684564
zscore,standard,euclidean,146.91692110633934,20.011923799692394,137.8729976190786,192.06403899404484,0.46370771057492594,0.007119475420081163,0.4582226829034871,0.4808561464017338,0.5829030540363311,0.07126149553734867,0.42306299896152116,0.63615493118934,0.6444925883945299,0.029456272654931503,0.5685682503503032,0.6706344899765273,0.7894854586129754,0.09335830741692666,0.5771812080536913,0.8456375838926175
zscore,standard,manhattan,146.91692110633934,20.011923799692394,137.8729976190786,192.06403899404484,0.46370771057492594,0.007119475420081163,0.4582226829034871,0.4808561464017338,0.5829030540363311,0.07126149553734867,0.42306299896152116,0.63615493118934,0.6444925883945299,0.029456272654931503,0.5685682503503032,0.6706344899765273,0.7894854586129754,0.09335830741692666,0.5771812080536913,0.8456375838926175
zscore,standard,cosine,29.939042811486576,0.2644105333274274,29.74179414807782,30.312613091012086,0.4510344744389023,0.0022738887615263085,0.44893071360574155,0.4547652228890165,0.5966778816255202,0.00948270403419738,0.5804665951578302,0.6057166512891416,0.6465676889504376,0.012673540500725073,0.6236336873822711,0.6545056341156015,0.8194630872483221,0.005007389101923794,0.8120805369127517,0.825503355704698
zscore,standard,chebyshev,146.91692110633934,20.011923799692394,137.8729976190786,192.06403899404484,0.46370771057492594,0.007119475420081163,0.4582226829034871,0.4808561464017338,0.5829030540363311,0.07126149553734867,0.42306299896152116,0.63615493118934,0.6444925883945299,0.029456272654931503,0.5685682503503032,0.6706344899765273,0.7894854586129754,0.09335830741692666,0.5771812080536913,0.8456375838926175
zscore,robust,euclidean,72.6171408805546,8.672777273965856,69.21338983055695,95.26946387555112,0.44706572526862426,0.0023927872813985195,0.43954438013408054,0.4482539443286713,0.551948861357853,0.04514278148297261,0.42967212304040353,0.5748162403295267,0.613181533753442,0.012345304464085573,0.5873421269770561,0.6474446439631089,0.7715883668903806,0.09388752951872878,0.5100671140939598,0.8120805369127517
