dataset,metric,outlier_method,norm,ari_mean,ari_min,ari_max,ari_std,acc_mean,acc_min,acc_max,acc_std,silhouette_mean,silhouette_min,silhouette_max,silhouette_std
vertebral,hamming,none,robust,0.0003070206263792,-0.0126966386395663,0.0176382165430042,0.0051090616132736,0.4875483870967741,0.4838709677419355,0.4967741935483871,0.0033838694301789,-0.2149838507940318,-0.3723026950419864,0.1291702981870849,0.107619975746271
vertebral,manhattan,zscore,none,0.2699485244661513,0.2620954793236503,0.2767659195501024,0.0021644323305862,0.6915771812080539,0.6879194630872483,0.7013422818791947,0.0048185629303789,0.356146127748267,0.3516486468490397,0.3642996674147402,0.0057248919844401
vertebral,minkowski,zscore,none,0.3630511826151105,0.3567091191488248,0.3660457634686264,0.0037600432591841,0.7407382550335572,0.738255033557047,0.7416107382550335,0.0014719269932524,0.3723865581415468,0.3723114373564017,0.3725906557180075,0.0001235487076236
wine,chebyshev,iqr,minmax,0.7566985869435721,0.2698517203870155,0.8227964212008559,0.0723253832231256,0.9096894409937888,0.5838509316770186,0.937888198757764,0.0448533224144576,0.2830999763708289,0.1434786892316387,0.2966955779521721,0.0203639439552656
wine,correlation,zscore,minmax,0.4306219910692809,0.3703659333571549,0.4701485645955784,0.0445718060402411,0.6229166666666667,0.6190476190476191,0.625,0.0028391047661218,0.3001608133395338,0.2833866206366943,0.309289007432903,0.0123091429070826
wine,cosine,zscore,standard,0.8624834507774939,0.8360850785499555,0.8814027333037913,0.0211823404216939,0.950892857142857,0.9404761904761904,0.9583333333333334,0.0083492619875628,0.2963913873925083,0.2945801459223257,0.2977125920739372,0.0014624545178957
wine,euclidean,zscore,standard,0.9367386053849492,0.3456730986620147,0.9653440352917028,0.0600974645150151,0.9770833333333336,0.625,0.988095238095238,0.0355190596690458,0.2981183316449396,0.2030373308776568,0.2995483914932954,0.0095596952177212
wine,hamming,iqr,none,0.0065763985348817,-0.0127825238889569,0.0684524472664518,0.0121823117069234,0.3991184131436585,0.3788819875776397,0.4658385093167702,0.0157475482808507,-0.1160342665045248,-0.3790739694664986,0.116012159512112,0.1088409251763568
wine,manhattan,zscore,standard,0.912271515121712,0.8930758101726675,0.9277923863302016,0.0148246436478039,0.9708333333333334,0.9642857142857144,0.9761904761904762,0.0050857165150699,0.2948324229495272,0.2925760092336577,0.2962118701523847,0.0017595059121874
wine,minkowski,iqr,minmax,0.9051408173414144,0.3487424509364297,0.9277321602324512,0.0576524620841849,0.9652795031055904,0.6211180124223602,0.9751552795031057,0.0349937579513773,0.313222180278536,0.2304834611953473,0.3149475417367918,0.0083555830427669
